frames_ids,AU1,AU2,AU4,AU6,AU12,AU15,AU20,AU25,EXPR,valence,arousal
1,0,0,1,1,0,0,0,1,4,-0.3531456463786431,0.38270810886139145
2,0,0,1,1,0,0,0,0,4,-0.3227634877456647,0.2849647596257885
3,0,0,1,1,0,0,0,0,4,-0.3321829791867027,0.27599489005086447
4,0,0,1,0,0,0,0,0,4,-0.2884225379185457,0.20659095717986156
5,0,0,1,0,0,0,0,1,0,-0.15925802161770042,-0.0002058294944857833
6,0,0,1,0,0,0,0,0,0,-0.12985673043754348,0.03565426516395645
7,0,0,1,0,0,0,0,0,0,-0.0351897864418693,-0.08498746654214832
8,0,0,1,0,0,0,0,1,0,-0.22279440790512844,0.1381926055152067
9,0,0,1,0,0,0,0,0,0,-0.3466067340984745,0.15613621236805456
10,0,0,1,0,0,0,0,0,4,-0.21403073257227484,0.1997480285108873
11,0,0,1,0,0,0,0,0,4,-0.21370190938346484,0.19737068976667752
12,0,0,1,0,0,0,0,0,4,-0.21382626905841265,0.19808751570158878
13,0,0,1,0,0,0,0,0,4,-0.21343966137225692,0.19513310968728825
14,0,0,1,0,0,0,0,0,4,-0.2127409950143805,0.1964172042514148
15,0,0,1,0,0,0,0,0,4,-0.2129792206871667,0.1946552978632481
16,0,0,1,0,0,0,0,0,4,-0.21200500215452756,0.19462374047572276
17,0,0,1,0,0,0,0,0,4,-0.21210020643315822,0.19499097575776664
18,0,0,1,0,0,0,0,0,4,-0.21262350041223205,0.19575425598917423
19,0,0,1,0,0,0,0,0,4,-0.21314366794142284,0.19644877786355971
20,0,0,1,0,0,0,0,0,4,-0.21266665745918692,0.19593422051127013
21,0,0,1,0,0,0,0,0,4,-0.21269632243600334,0.19525747486439182
22,0,0,1,0,0,0,0,0,4,-0.21294499916563697,0.1960020726914272
23,0,0,1,0,0,0,0,0,4,-0.2131865996328232,0.19663374394325434
24,0,0,1,0,0,0,0,0,4,-0.21200110528029897,0.1964377281378562
25,0,0,1,0,0,0,0,0,4,-0.2107013373292591,0.19556937598329222
26,0,0,1,0,0,0,0,0,4,-0.21028025588020685,0.19482346235676415
27,0,0,1,0,0,0,0,0,4,-0.21027248661573,0.19586353854423286
28,0,0,1,0,0,0,0,0,4,-0.21134120684215116,0.19500317620603655
29,0,0,1,0,0,0,0,0,4,-0.21241813586828745,0.19532430118047872
30,0,0,1,0,0,0,0,0,4,-0.21184639566528957,0.19548488219611732
31,0,0,1,0,0,0,0,0,4,-0.2125389430132744,0.1956256646417865
32,0,0,1,0,0,0,0,0,4,-0.21228557016308378,0.19545631559173518
33,0,0,1,0,0,0,0,0,4,-0.21225915979103827,0.1960628920014163
34,0,0,1,0,0,0,0,0,4,-0.2114175469614566,0.19491731621766165
35,0,0,1,0,0,0,0,0,4,-0.21155885482010878,0.19632935177191693
36,0,0,1,0,0,0,0,0,4,-0.21082739583461693,0.19627500671011044
37,0,0,1,0,0,0,0,0,4,-0.21076438083362428,0.1962462385111537
38,0,0,1,0,0,0,0,0,4,-0.21010902661241987,0.19663056130766077
39,0,0,1,0,0,0,0,0,4,-0.21079678948674546,0.1968954382464289
40,0,0,1,0,0,0,0,0,4,-0.21010791973553994,0.19686080232311623
41,0,0,1,0,0,0,0,0,5,-0.2524187641929051,0.0773825355756439
42,0,0,1,0,0,0,0,0,5,-0.24829447496143225,0.06458300776093408
43,0,0,1,0,0,0,0,0,5,-0.3128910353162179,0.07155745606379282
44,0,0,1,0,0,0,0,0,5,-0.27200695681140613,0.08513511016376701
45,0,0,1,0,0,0,0,0,5,-0.2695291772190677,0.1414234444597049
46,0,0,1,0,0,0,0,0,5,-0.3228240945180388,0.1351996036981673
47,0,0,1,0,0,0,0,0,0,-0.280562601468869,0.1506470752953502
48,0,0,1,1,0,0,0,0,0,-0.2093393254878098,0.12115606360480577
49,0,0,1,1,0,0,0,0,0,-0.21517609350236233,0.1321255912587634
50,0,0,1,1,0,0,0,0,0,-0.22969891759566963,0.09357788138042542
51,0,0,1,0,0,0,0,0,5,-0.1778170979263163,0.0635604667967479
52,0,0,0,0,0,0,0,1,0,-0.050090689156939754,0.11604689336136764
53,0,0,1,0,0,0,0,1,0,-0.06577797749655717,0.0895913886151423
54,0,0,1,1,0,0,0,0,0,-0.21728900767323614,0.2636545860135045
55,0,0,1,0,0,0,0,0,0,-0.05180466627567325,-0.0243207025280419
56,0,0,0,0,0,0,0,0,0,-0.07226925095739338,-0.043775124058715656
57,0,0,1,0,0,0,0,0,0,-0.12631801898150075,0.09676720290199699
58,0,0,1,0,0,0,0,0,0,-0.10119051048777218,0.25160430321212546
59,0,0,1,0,0,0,0,0,0,-0.2060378895043151,0.28882440227377953
60,0,0,1,0,0,0,0,0,0,-0.22323937147953796,0.3039729150385889
61,0,0,1,0,0,0,0,0,0,-0.2244521264526013,0.3046592456215109
62,0,0,1,0,0,0,0,0,0,-0.2222435265338343,0.30572746338408524
63,0,0,1,0,0,0,0,0,0,-0.22570159372040322,0.30641377775464196
64,0,0,1,0,0,0,0,0,0,-0.22701468164297314,0.30600498527852116
65,0,0,1,0,0,0,0,0,0,-0.22776152700872015,0.3072655302668479
66,0,0,1,0,0,0,0,0,0,-0.2264889032383891,0.30684094319095534
67,0,0,1,0,0,0,0,0,0,-0.22739505383038994,0.30737944975446313
68,0,0,1,0,0,0,0,0,0,-0.22882901274256018,0.30757067994349385
69,0,0,1,0,0,0,0,0,0,-0.22944633951900822,0.30756336302606774
70,0,0,1,0,0,0,0,0,0,-0.2309049307368696,0.3073378664037016
71,0,0,1,1,0,0,0,0,0,-0.23351643812891693,0.06726734385531585
72,0,0,1,0,0,0,0,0,5,-0.254722445210638,0.23537047427931893
73,0,0,1,1,0,0,0,0,0,-0.2265787140870663,0.1640857891057078
74,0,0,1,0,0,0,0,0,0,-0.23449322421986024,0.16773239339971419
75,0,0,1,0,0,0,0,0,0,-0.18532572537170433,0.20899070891563923
76,0,0,1,0,0,0,0,0,0,-0.18323090978849096,0.20497997573846452
77,0,0,1,0,0,0,0,0,5,-0.31676683785687937,0.2189600968451581
78,0,0,1,1,0,0,0,0,5,-0.24031854806909048,0.2342711188462807
79,0,0,1,1,0,0,0,0,5,-0.20083510229903231,0.15535682041541127
80,0,0,1,1,0,0,0,0,0,-0.06458233261333883,0.1412947246755816
81,0,0,1,1,0,0,0,0,0,-0.10854307198161753,0.07218657627603718
82,0,0,1,1,0,0,0,0,0,-0.19023762693579654,0.09156509122419117
83,0,0,1,1,0,0,0,0,0,-0.1928156831693885,0.056283728623958716
84,0,0,1,0,0,0,1,0,0,-0.17635340238676267,-0.04492595011221348
85,0,0,1,1,0,0,1,0,0,-0.1703220422281639,0.005954997644661637
86,0,0,0,0,0,0,1,0,0,-0.12288305374156488,-0.051955927102091314
87,0,0,1,1,0,0,1,0,0,-0.1252230238904687,0.07558266594270727
88,0,0,0,0,0,0,0,0,0,-0.0669219163430267,0.00903853687678311
89,0,0,1,1,0,0,1,0,0,-0.1211151635078224,0.10457696289583837
90,0,0,0,0,0,0,0,0,0,-0.08415968329523155,-0.030103470768632498
